panel_name	nando_id	gene_symbol_list
Subacute sclerosing panencephalitis presenting only with convulsion	NANDO:1200202	
Subacute sclerosing panencephalitis with prolonged Jabbour's clinical stage I	NANDO:1200203	
Subacute sclerosing panencephalitis in infants or adults	NANDO:1200204	
Progressive multifocal leukoencephalopathy	NANDO:1200205	
HTLV-1-associated myelopathy	NANDO:1200206	
Idiopathic basal ganglia calcification	NANDO:1200207	JAM2 | MYORG | PDGFB | PDGFRB | SLC20A2 | XPR1
Familial idiopathic basal ganglia calcification	NANDO:1200208	PDGFB | PDGFRB | SLC20A2
Systemic amyloidosis	NANDO:1200209	
AL amyloidosis; Transthyretin-related senile systemic amyloidosis	NANDO:1200210	
Amyloid light-chain amyloidosis	NANDO:1200211	
wild-type transthyretin amyloidosis	NANDO:1200212	
Hereditary systemic amyloidosis (excluding ATTRv)	NANDO:1200213	
Hereditary Transthyretin Amyloidosis	NANDO:1200214	
Ullrich disease	NANDO:1200215	COL12A1 | COL6A1 | COL6A2 | COL6A3
Distal myopathy	NANDO:1200216	ADSS1 | ANO5 | CAV3 | CRYAB | DYSF | FLNC | GIPC1 | HNRNPA1 | KLHL9 | LDB3 | LRP12 | MATR3 | MYH14 | MYH7 | MYOT | NEB | NOTCH2NLC | RILPL1 | SMPX | SQSTM1 | TIA1 | TTN | VCP
Miyoshi myopathy	NANDO:1200217	ANO5 | DYSF
Distal myopathy with rimmed vacuoles	NANDO:1200218	GNE
Oculopharyngodistal myopathy	NANDO:1200219	GIPC1 | LRP12 | NOTCH2NLC | RILPL1
Bethlem Myopathy	NANDO:1200220	COL12A1 | COL6A1 | COL6A2 | COL6A3
Autophagic vacuolar myopathy	NANDO:1200221	
Danon disease	NANDO:1200222	LAMP2
X-linked Myopathy with excessive autophagy	NANDO:1200223	VMA21
Schwartz-Jampel syndrome	NANDO:1200224	HSPG2 | LIFR
Neurofibromatosis	NANDO:1200225	COQ6 | LZTR1 | MAP2K2 | NF1 | NF2 | RNF135 | SMARCB1
Neurofibromatosis type 1	NANDO:1200226	NF1 | RNF135
Neurofibromatosis type 2	NANDO:1200227	NF2
Pemphigus	NANDO:1200228	ATP2C1
Pemphigus vulgaris	NANDO:1200229	
Pemphigus foliaceus	NANDO:1200230	
Paraneoplastic pemphigus	NANDO:1200231	
Pemphigus vegetans	NANDO:1200232	
Pemphigus erythematosus	NANDO:1200233	
Epidermolysis bullosa	NANDO:1200234	CD151 | COL17A1 | COL7A1 | DSP | DST | EXPH5 | FERMT1 | ITGA3 | ITGA6 | ITGB4 | JUP | KLHL24 | KRT14 | KRT5 | LAMA3 | LAMB3 | LAMC2 | MMP1 | PKP1 | PLEC
