ICD-10	ICD-10_group	disease_control_number	disease_name
K458		20050366	Ｓ状結腸間膜窩ヘルニア
Q431		20100954	Ｓ状結腸型ヒルシュスプルング病
C187		20050367	Ｓ状結腸癌
K566		20086780	Ｓ状結腸狭窄症
K573		20050369	Ｓ状結腸憩室
K573		20094586	Ｓ状結腸憩室炎
K573		20094587	Ｓ状結腸憩室出血
K572		20094589	Ｓ状結腸憩室穿孔
A183	K930	20050370	Ｓ状結腸結核
N824		20094083	Ｓ状結腸子宮瘻
D374		20050372	Ｓ状結腸腫瘍
C187		20102441	Ｓ状結腸神経内分泌細胞癌
C187		20102418	Ｓ状結腸神経内分泌腫瘍
K562		20050371	Ｓ状結腸軸捻転
K631		20050374	Ｓ状結腸穿孔
D125		20087437	Ｓ状結腸腺腫
Q439		20050373	Ｓ状結腸先天異常
K573		20094590	Ｓ状結腸多発憩室
D374		20050377	Ｓ状結腸粘膜下腫瘍
K635		20050364	Ｓ状結腸ポリープ
K632		20050378	Ｓ状結腸瘻
G08		20092660	Ｓ状静脈洞血栓症
Q631		20050379	Ｓ状腎
