id	label_en	synonym_en	label_ja	synonym_ja
E786			ＬＣＡＴ欠損症	
E713			ＬＣＨＡＤ欠損症	
L270			ＬＥ型薬疹	
L931			ＬＥ蝶形皮疹	
L930			ＬＥ皮疹	
D840			ＬＦＡ−１欠乏症	
I456			ＬＧＬ症候群	
E230			ＬＨ単独欠損症	
A305			ＬＬ型ハンセン病	
N079			ＬＭＸ１Ｂ関連腎症	
T857			ＬＰシャント感染症	
T856			ＬＰシャント機能不全	
F160			ＬＳＤ使用による急性精神・行動障害	
T408			ＬＳＤ中毒	
F160			ＬＳＤ反応	
Q631			Ｌ字状腎	
C884			ＭＡＬＴリンパ腫	
E713			ＭＣＡＤ欠損症	
E888			ＭＥＬＡＳ症候群	
E888			ＭＥＲＲＦ症候群	
D818			ＭＨＣクラスＩ・ＩＩ欠損症	
D816			ＭＨＣクラスＩ欠損症	
D817			ＭＨＣクラスＩＩ欠損症	
C910			ＭＬＬ再構成型Ｂリンパ芽球性白血病	
C910			ＭＬＬ再構成型Ｂリンパ芽球性白血病／リンパ腫	
C835			ＭＬＬ再構成型Ｂリンパ芽球性リンパ腫	
E888			ＭＮＧＩＥ	
M1314			ＭＰ関節炎	
S6261			ＭＰ関節開放性脱臼骨折	
S631			ＭＰ関節脱臼	
S6260			ＭＰ関節脱臼骨折	
M2554			ＭＰ関節痛	
S6260			ＭＰ関節内骨折	
S636			ＭＰ関節捻挫	
M674			ＭＰ関節部ガングリオン	
M2484			ＭＰ関節ロッキング	
A490			ＭＲＣＮＳ感染症	
J152			ＭＲＣＮＳ肺炎	
A411			ＭＲＣＮＳ敗血症	
M0001			ＭＲＳＡ肩関節炎	
M0009			ＭＲＳＡ関節炎	
A490			ＭＲＳＡ感染症	
I330			ＭＲＳＡ感染性心内膜炎	
M0005			ＭＲＳＡ股関節炎	
M8699			ＭＲＳＡ骨髄炎	
M0006			ＭＲＳＡ膝関節炎	
T814			ＭＲＳＡ術後創部感染	
