id	label_en	synonym_en	label_ja	synonym_ja	OMIM	Orphanet
MONDO:0000310	Alkhurma hemorrhagic fever	Alkhumra hemorrhagic fever virus disease or disorder|Alkhumra hemorrhagic fever virus infectious disease|Alkhumra hemorrhagic fever virus caused disease or disorder	アルクルマ出血熱	Alkhurma 出血熱		
MONDO:0000313	hypophosphatemia	hypophosphatemia (disease)|hypophosphatemia	低リン酸血症			
MONDO:0000314	primary bacterial infectious disease		原発性細菌感染症			
MONDO:0000315	commensal bacterial infectious disease	opportunistic bacterial infectious disease	共生細菌感染症			
MONDO:0000316	opportunistic bacterial infectious disease		日和見細菌感染症			
MONDO:0000320	glandular tularemia	lymph node tularemia	リンパ節型野兎病	リンパ節型ツラレミア		
MONDO:0000321	typhoidal tularemia		チフス型野兎病	チフス型ツラレミア		
MONDO:0000327	Buruli ulcer disease	Mycobacterium ulcerans disease or disorder|Searl ulcer|Daintree ulcer|Mossman ulcer|Bairnsdale ulcer|Mycobacterium ulcerans infectious disease|Searle's ulcer|Mycobacterium ulcerans caused disease or disorder|Buruli ulcer	ブルーリ潰瘍			
MONDO:0000328	hyperphosphatemia	hyperphosphatemia|hyperphosphatemia (disease)	高リン血症			
MONDO:0000330	endemic typhus	shop typhus|urban typhus of Malaya|rat-flea typhus|toulon typhus|cat flea rickettsiosis|endemic flea-borne typhus|urban typhus|endemic typhus fever|fleaborne typhus|murine typhus|Rickettsia felis spotted fever	発疹熱			Orphanet:83315
MONDO:0000331	Rickettsia helvetica spotted fever	aneruptive fever|Rickettsia helvetica aneruptive fever|Rickettsia helvetica caused disease or disorder|Rickettsia helvetica disease or disorder|Rickettsia helvetica infectious disease	Rickettsia helvetica紅斑熱			
MONDO:0000332	sennetsu fever	"sennetsu ehrlichiosis|Human Ehrlichial infection, sennetsu type|sennetsu fever|Neorickettsia sennetsu infectious disease|Neorickettsia sennetsu caused disease or disorder|Neorickettsia sennetsu disease or disorder"	腺熱			
MONDO:0000333	early congenital syphilis	Early congenital syphilis (less than 2 years)	早期先天性梅毒			
MONDO:0000334	multinodular goiter	"goiter, multinodular"	多結節性甲状腺腫		OMIMPS:138800	
MONDO:0000335	parenchymatous neurosyphilis		実質型神経梅毒			
MONDO:0000336	meningovascular neurosyphilis		髄膜血管神経梅毒			
MONDO:0000337	exanthema subitum	pseudorubella|sixth disease|roseola|exanthem subitum|roseola Infantum	突発性発疹			
MONDO:0000338	variola major infectious disease		大痘瘡感染症			
MONDO:0000339	spinal polio		脊髄型ポリオ			
MONDO:0000340	bulbospinal polio		延髄脊髄型ポリオ			
MONDO:0000341	paralytic poliomyelitis		麻痺性灰白髄炎	麻痺性ポリオ		
MONDO:0000342	O'nyong'nyong fever	O'nyong-nyong virus disease or disorder|O'nyong-nyong virus infectious disease|O'nyong-nyong virus caused disease or disorder	オニョンニョン熱			
MONDO:0000343	Barmah forest virus disease	Barmah Forest virus disease or disorder|Barmah Forest virus infectious disease|Barmah Forest virus caused disease or disorder	バーマフォレストウイルス病			
MONDO:0000344	Ross river fever	Ross River virus infectious disease|Ross River virus caused disease or disorder|Ross River virus disease or disorder|Ross River virus disease	ロスリバー熱			
MONDO:0000345	Oropouche fever	Oropouche virus disease or disorder|Oropouche virus caused disease or disorder|Oropouche virus infectious disease	オロポーチ熱.			
